PokemonId,NameEn,NameTw,Type1,Type2,Old_MaxCp,Old_BaseAtk,Old_BaseDef,Old_BaseSta,CaptureRate,FleeRate,Height,Weight,BaseAtk,BaseDef,BaseSta,MaxCp,Flavor
70,Weepinbell,口呆花,Grass,Poison,1723,190,110,130,20,7,6.4,1,172,95,130,1475,進化後的口呆花的頭部變得更大了，嘴巴也隨之變大。根部已經退化了，但還保留了兩片葉子和一部分莖，額頭上增多了3個斑點。
71,Victreebel,大食花,Grass,Poison,2530,222,152,160,10,5,15.5,1.7,207,138,160,2268,進化後的大食花能夠直立，頭部長出了一片葉子，口部長出了尖利的牙齒，使整體形象看上去更像豬籠草。身體兩側的葉子作為雙手，身體下部長出了一條尾巴，尾巴末端像是一片葉子。
72,Tentacool,瑪瑙水母,Poison,Water,905,106,136,80,40,15,45.5,0.9,97,182,80,956,瑪瑙水母通體為藍色，有一個菱形的鼻子。頭部兩側有兩大塊類似紅色瑪瑙的透明物體，額頭正中有一塊稍小一點的。身體下部有兩條觸手。
73,Tentacruel,毒刺水母,Poison,Water,2220,170,196,160,16,7,55,1.6,166,237,160,2374,毒刺水母頭部與瑪瑙水母相同，只是眼睛轉移到了下部的黑色部分上，並且生長出了藍色的類似鉗子的物體。
74,Geodude,小拳石,Ground,Rock,849,106,118,80,40,10,20,0.4,132,163,80,1193,小拳石就像一顆灰色的圓石頭，有隆起的石頭眉毛、梯形的眼睛跟咖啡色的虹膜，還有一雙肌肉發達的手臂，手有五根手指頭。
75,Graveler,隆隆石,Ground,Rock,1433,142,156,110,20,7,105,1,164,196,110,1815,隆隆石似乎是顆活生生，兩腳站立的圓石頭，牠的皮膚在進化之後變得更堅硬了。隆隆石有四隻手臂，並主要使用比較長的兩隻去舉起東西，用比較短的兩隻去防禦攻擊。另有兩隻很短的腳。
76,Golem,隆隆岩,Ground,Rock,2303,176,198,160,10,5,300,1.4,211,229,160,2916,隆隆岩的身體就像一顆被岩石覆蓋的大圓球。隆隆岩的頭從身體的中央凸出，雙手各有三根手指，而雙腳各有五根，其中四根在前、一根在後，皆帶有尖利的指甲。跟進化前不一樣的是，隆隆岩有對紅色的眼睛，而且牠的臉不再那麼像岩石了，比較像是烏龜，而且下顎有兩顆牙齒。
77,Ponyta,小火馬,Fire,,1516,168,138,100,32,10,30,1,170,132,100,1502,小火馬的身體是白色的，有一些似火焰的毛髮附身在它身上，仔細看的話頭上的毛髮比起其它地方更加整齊。有著四隻比鑽石還要堅硬的蹄子。
78,Rapidash,烈焰馬,Fire,,2199,200,170,130,12,6,95,1.7,207,167,130,2252,烈焰馬進化後，身材高大了不少，身上的火焰更加猛烈了。頭頂上生出了一根類似於獨角的物體。
79,Slowpoke,呆呆獸,Psychic,Water,1218,110,110,180,40,10,36,1.2,109,109,180,1204,呆呆獸呈粉紅色，有點胖，耳朵是卷狀的，眼睛類似於可達鴨的眼睛。有一條較長的粉紅尾巴，末端呈淡粉色。
80,Slowbro,呆河馬,Psychic,Water,2597,184,198,190,16,6,78.5,1.6,177,194,190,2482,進化後的呆殼獸幾乎只是直立起身體而變高了，它尾巴上的陀螺狀物體可以說是它的「進化素材」。<br/><br/>超進化後的呆殼獸不再需要雙腳站立，只依靠尾巴支撐，整個身體除了頭部、雙手、小部分尾巴仍然在殼外，其他部分全部被殼包裹住了。殼的口部長有尖刺，並在兩側有兩個孔洞；在第三環節，有著保護作用的尖刺。
81,Magnemite,小磁怪,Electric,Steel,890,128,138,50,40,10,6,0.3,165,128,50,1083,小磁怪只有一隻眼睛，位於圓球形身體的中央，身體左右各有一個馬蹄形磁鐵，磁極是相反的。頭頂有一個大號螺絲，身體前側有兩個小號螺絲。
82,Magneton,三合一磁怪,Electric,Steel,1879,186,180,100,16,6,60,1,223,182,100,2237,三合一磁怪就像是三個小磁怪組合而成，所以每一個的外貌和小磁怪差不多，但磁鐵的位置有所改變。下部中間的兩個磁鐵向前伸出，作為它的手使用。
83,Farfetch'd,大蔥鴨,Flying,Normal,1263,138,132,104,24,9,15,0.8,124,118,104,1092,大蔥鴨並不像普通鴨子那麼臃腫，全身覆蓋著褐灰色的羽毛，前胸及腹部為乳白色。黃色的腳分為三趾，沒有腳蹼。頭頂部豎立著三根「呆毛」。額頭間的黑色V字形狀和一直拿著的大蔥是它的顯著特點。
84,Doduo,嘟嘟,Flying,Normal,855,126,96,70,40,10,39.2,1.4,158,88,70,1011,嘟嘟有點像鴕鳥，它的肚子是球形的。它有兩個頭，依靠黑色的脖子連接身體。雖然是飛行系，但看起來沒有羽毛，有一層絨毛。
85,Dodrio,嘟嘟利,Flying,Normal,1836,182,150,120,16,6,85.2,1.8,218,145,120,2138,嘟嘟利有三個頭，分別代表著開心，憤怒與悲傷。每個頭上有兩根黑色的羽毛，大腿部分覆蓋了黑色的羽毛，擁有粉紅色的尾巴。
86,Seel,小海獅,Water,,1107,104,138,130,40,9,90,1.1,85,128,130,899,小海獅的形象來源於海獅的小孩，頭頂有一個突起。嘴巴兩邊有向上翹起的牙，吐著舌頭。尾巴一分為二，像是噴泉湧起的浪花。
87,Dewgong,白海獅,Ice,Water,2145,156,192,180,16,6,120,1.7,139,184,180,1894,與小海獅一樣頭上擁有尖角，以及嘴巴邊有兩個向下的牙齒，眼睛變大了。身體兩側的手變為了類似鰭的物體，尾巴進化後就變為了一條尾巴。
88,Grimer,臭泥,Poison,,1284,124,110,160,40,10,30,0.9,135,90,160,1269,臭泥是基因突變而成的，它全身都是由爛泥構成，身上環繞著深紫色的條紋。由於沒有腳，所以可能運用蠕動方式來行走，它擁有雙手。
89,Muk,臭臭泥,Poison,,2602,180,188,210,16,6,30,1.2,190,184,210,2709,臭臭泥全身都是爛泥，明顯進化後嘴巴變得更大，更凶了，雙臂變得更長了。
90,Shellder,大舌貝,Water,,822,120,112,60,40,10,4,0.3,116,168,60,958,大舌貝與蛤蜊的構造相似，內部被尖硬的殼包住了，上下兩隻殼各有兩個尖刺。眼睛位於殼內的黑色軟體中，它總是把舌頭吐出來。
91,Cloyster,鐵甲貝,Ice,Water,2052,196,196,100,16,6,132.5,1.5,186,323,100,2475,鐵甲貝被雙重貝殼保護，本體上面有一個突出來的角，最外邊的殼也有一些突出來的角，嘴巴開始顯露了出來。
92,Gastly,鬼斯,Ghost,Poison,804,136,82,60,32,10,0.1,1.3,186,70,60,1002,鬼斯似乎除了有紫色光輝的煙霧圍繞著的一個幽靈物質或氣體所組成的黑色球狀外什麼都沒有。鬼斯有大的白色的眼睛、很小的瞳孔和其中有一對獠牙的嘴，如果猛地看見它說不定會被嚇到。它的臉和刺甲貝的略有相似，但這兩種神奇寶貝無甚聯繫。
93,Haunter,鬼斯通,Ghost,Poison,1380,172,118,90,16,7,0.1,1.6,223,112,90,1716,鬼斯通是紫色的幽靈樣子的神奇寶貝，它有圓形的身體，帶著一對與身體分離的手，三隻手指懸浮在身體之前像遊魂一般。鬼斯通在臉的兩邊有三個一組的刺狀突出，似乎是懸吊著的一綹亂蓬蓬的毛髮。它有三角形的白色眼睛，裡面有黑色的瞳仁；它的嘴裡有幾顆尖銳的紫色牙齒。
94,Gengar,耿鬼,Ghost,Poison,2078,204,156,120,8,5,40.5,1.5,261,156,120,2619,耿鬼是有著圓形外形的深紫色神奇寶貝。它的手現在是連接著它身體的其他部分，而且它有了一雙腿和一個短而尖的尾巴。耿鬼的眼睛是紅色的，背後有些刺狀的突起，它的嘴角經常彎彎的，帶著一絲陰險恐怖的微笑。
95,Onix,大岩蛇,Ground,Rock,857,90,186,70,16,9,210,8.8,85,288,70,1002,大岩蛇大概有10米長，它是由很多個大石頭構成的，由頭部向尾巴的灰色石塊越來越小。最前面的石頭是它的頭，該石頭上刻有它的眼睛，另外石頭頂部有一個角。
96,Drowzee,素利普,Psychic,,1075,104,140,120,40,10,32.4,1,89,158,120,992,素利普的身體為黃、褐兩色。上半身為黃色，下半身為褐色，其顏色的分界線為波浪狀。雙手分為三指，雙腳分為兩趾。鼻子略長，上有褶皺。眼睛很有迷惑性。
97,Hypno,素利拍,Psychic,,2184,162,196,170,16,6,75.6,1.6,144,215,170,2048,素利拍從進化後下半部的深黑色都變成黃色了，頸部中有一些白色的毛髮。頭上有尖尖的耳朵，鼻子也變短了，手裡拿著一個可用於催眠的圓環。
98,Krabby,大鉗蟹,Water,,792,116,110,60,40,15,6.5,0.4,181,156,60,1386,大鉗蟹的體色由紅色和白色組成，頭部的上半部分和兩隻蟹爪為紅色，其餘部分為白色。頭頂有兩個突起，下頜部分有著狀似牙齒的凸起。六條肢體（包含鉗子）都分節。
99,kINGLER,巨鉗蟹,Water,,1823,178,168,110,16,7,60,1.3,240,214,110,2694,巨鉗蟹的頭上布滿凸起，左邊的鉗子長大了很多，嘴巴生出了很多牙齒。身體只有頭與鉗子是紅色的，其餘部分是白色的。
100,Voltorb,雷電球,Electric,,839,102,124,80,40,10,10.4,0.5,109,114,80,857,霹靂電球是沒手也沒腳的球形神奇寶貝。牠們看起來像一個減去按鍵卻有臉的精靈球，上半部是紅色的，下半部則是白色的。牠們第一次被看見是在發明現代精靈球的工廠裡。霹靂電球和牠的進化型，頑皮雷彈，可以成為一種能量，但不清楚請能量是從哪裡來跟它是如何創造牠們的。牠和精靈球的相似之處似乎在暗示霹靂電球是人造神奇寶貝。
101,Electrode,頑皮蛋,Electric,,1646,150,174,120,16,6,66.6,1.2,173,179,120,1900,頑皮雷彈是沒有手臂和腿的圓形神奇寶貝。它們看起來像一個倒著的精靈球。因此許多訓練家們在無人發電站裡會試著撿起它們，錯把其當成了地上的道具。其進化前型態霹靂電球從形狀和顏色上看都像一個普通的精靈球，而頑皮雷彈的顏色則是倒轉的（紅色在下白色在上）並有一張嘴。
102,Exeggcute,蛋蛋,Grass,Psychic,1099,110,132,120,40,10,2.5,0.4,107,140,120,1102,蛋蛋看起來是六個淺粉色的蛋，蛋殼上會有些許裂紋，一般的排列形式都是五個頭擠在第六個頭周圍。每個「頭」有一副稍有不同的面部表情，但是每張臉都有小小的嘴巴和三角形的眼睛，裡面有小而黑的錐形瞳孔。六個蛋中的其中一個會暴露著蛋黃（或是大腦）。儘管看起來像是蛋，但蛋蛋實際上與植物種子關聯更大。
103,Exeggutor,椰蛋樹,Grass,Psychic,2955,232,164,190,16,6,120,2,233,158,190,2916,椰蛋樹是很高的神奇寶貝，看起來很像一棵椰子樹或菠蘿樹，只是它有腿。椰蛋樹的腿和身體看起來像樹幹，它的腿很粗，腳上有兩根腳趾，腳下部有淺黃色的肉墊。從它身體的頂端抽出一些葉子。椰蛋樹有三到六個圓形的淺黃色頭部，看起來像椰子。類似蛋蛋，它的每個頭上都有不同的面部表情。阿羅拉地區的椰蛋樹的身高暴增至10米，看上去就像長頸鹿一樣，它的尾巴上也有一個頭，用來對付身後的敵人。
104,Cubone,可拉可拉,Ground,,1006,102,150,100,32,10,6.5,0.4,90,165,100,943,可拉可拉戴著的骨頭面具是它母親死去後留下的頭骨，邊緣有些開裂，只有眼睛可以看見。它拿著一根骨頭，並作為武器，身體是褐色的，腹部為亞麻色，手指、腳尖有著白色的指甲，還有著短短的尾巴。
105,Marowak,嘎拉嘎拉,Ground,,1656,140,202,120,12,6,45,1,144,200,120,1691,嘎啦嘎啦是一種兩足的神奇寶貝，腹部為淺棕色，身體大部分為深褐色。嘎啦嘎啦的尾巴上有一個尖狀物，每隻手上有一個小爪子來充當它的拇指，兩個趾甲則作為它的腳趾。嘎啦嘎啦的頭部和曾經戴上的頭骨結合，現在是身體的一部分，因此無法再拿下頭骨。嘎啦嘎啦的下巴也被骨覆蓋，它的鼻孔位於頭骨的鼻子處，眼睛的形狀近似三角形。手中的骨頭棒是出生起就握著的，但也有是從傳聞中嘎啦嘎啦專屬的墓地撿到的說法。阿羅拉的樣子的嘎啦嘎啦的身體的顏色變為黑色，頭部的骨頭中間有一個類似於被擠壓過的高筒帽的花紋，它手裡的骨頭一直在燃燒著淺綠色的火焰。
106,Hitmonlee,沙瓦郎,Fighting,,1492,148,172,100,16,9,49.8,1.5,224,211,100,2406,沙瓦郎是一種人形寶可夢，通體為褐色，部分為卡其色。雙手雙腳各有一部分為彈簧的形狀，彈性很好，可以自由伸縮。沒有嘴巴，眼睛很深邃，邊緣為黑色，瞳仁為白色。雙腳的內側各有一個堅硬的黃色物體。
107,Hitmonchan,艾比郎,Fighting,,1516,138,204,100,16,9,50.2,1.4,193,212,100,2098,艾比郎穿著類似裙子一般的武士盔甲，堅硬無比可以充當防護的作用。 他和飛腿郎一樣是褐色，頭部生出了片狀的「頭髮」。並且戴著拳擊比賽的拳擊手套，會在敵人不經意的時候伸長褐色的手臂給予猛擊。
108,Lickitung,大舌頭,Normal,,1626,126,160,180,16,9,65.5,1.2,108,137,180,1322,大舌頭人如其名，擁有大舌頭，它腹部上有多個向下的月形，就像是多個笑臉那樣，腿部上的漆蓋有圓環的形狀，它擁有一個大尾巴，全身都是粉紅色與紅色的，是看起來蠻可愛的神奇寶貝。
109,Koffing,瓦斯彈,Poison,,1151,136,142,80,40,10,1,0.6,119,164,80,1091,瓦斯彈是一種球形寶可夢，全身為紫色。全身分布有凸起，部分凸起會散發出毒氣。嘴裡有兩顆向下的尖牙，帶著邪惡的微笑。腹部有一個骷髏形的圖案，結合現實象徵著有毒的物品。
110,Weezing,雙彈瓦斯,Poison,,2250,190,198,130,16,6,9.5,1.2,174,221,130,2183,雙彈瓦斯是由兩個瓦斯彈組成的，中間有一個連接點連接著它們兩個，全身的凸起向外界泄露著毒氣。其中前面的長相更加兇惡，且有一個骷髏頭的標誌，後面的瓦斯彈只有圓環的標誌。
111,Rhyhorn,鐵甲犀牛,Ground,Rock,1182,110,116,160,40,10,115,1,140,157,160,1679,鐵甲犀牛是一種四足獸形神奇寶貝，全身為灰色。全身覆蓋著刀槍不入的灰色鎧甲，用於保護自身和攻擊敵人，背部的一塊鎧甲帶有弧形的缺口。頭部有一個小小的角，四肢較短，有一個很小的尾巴。
112,Rhydon,鐵甲暴龍,Ground,Rock,2243,166,160,210,16,6,120,1.9,222,206,210,3300,外形有點像恐龍，全身呈灰色，額頭上有一個很尖銳的鑽錐，是很有力的武器。手上擁有三個利爪，頭上有幾個突出來的尖角，背部上有幾個尖刺物，龐大的腳上有二個利爪，粗壯有力，頸部粗且短，其上有個弘形的盔甲，擁有一條強而有力的尾巴，以保持身體平衡。並且尾巴上有幾條線條。
113,Chansey,吉利蛋,Normal,,675,40,60,500,16,9,34.6,1.10,60,176,500,1469,吉利蛋有粉色的、蛋形的身體。它有頭髮狀的伸出物在頭的兩側，取代了小福蛋頭頂上的一根捲毛。吉利蛋有短手和短尾巴。吉利蛋身體的下部比較胖，有一個口袋，口袋中還有一個蛋。
114,Tangela,藤蔓怪,Grass,,1739,164,152,130,32,9,35,1,183,205,130,2208,蔓藤怪周身覆蓋著厚厚的藍色藤蔓，臉被藤蔓遮住，只能看到它的眼睛。藤蔓使得它的身體呈圓形，它除去藤蔓的樣子誰也不知道。它的藤蔓上覆蓋著細毛。蔓藤怪有一雙紅色的像穿了靴子的腳，但看不到它的手臂。
115,Kangaskhan,袋龍,Normal,,2043,142,178,210,16,9,80,2.2,181,165,210,2463,袋獸是一隻雙足獸形寶可夢，全身大部分為褐色，耳朵以及腹部為灰黃色。肩部及腿部有多處凸起，像是用來保護的鎧甲。肚子前面的育兒袋裡面有著它的孩子，小袋獸的身體為淡紫色，其餘部分與它的母親很相似。
116,Horsea,墨海馬,Water,,794,122,100,60,40,10,8,0.4,129,125,60,921,墨海馬是一種柱狀寶可夢，身體大部分為藍色，前腹部以及背後的鰭為淺黃色。它的虹膜是紅色的，頭部左右兩側各有三個尖刺，通過長長的柱形嘴巴向外噴射墨汁。尾巴向前捲曲，呈逆時針狀。
117,Seadra,海刺龍,Water,,1713,176,150,110,16,6,25,1.2,187,182,110,1979,海刺龍身上長滿了角或尖刺，尾巴呈卷形，而且比墨海馬更大，更強壯了，海刺龍身上的顏色有米色，藍色。嘴巴由圓柱狀變為了三稜柱狀。
118,Goldeen,角金魚,Water,,965,112,126,90,40,15,15,0.6,123,115,90,1006,角金魚是一種魚形寶可夢，身體大部分為白色，肢體連接處為紅色。它有著粉色的性感的嘴唇。身體兩側有著鰭。尾巴呈波浪狀。頭頂上有著尖利的角，若是不小心惹怒了它，便會遭受猛烈的一擊。
119,Seaking,金魚王,Water,,2043,172,160,160,16,7,39,1.3,175,154,160,2040,金魚王看起來像一隻錦鯉或金魚，因為它是以橙色為主的一條大魚。它有著黑與白的的斑點。有著鼓起的尾和類似胸部的鰭，全部都是白色的並且有黑色的斑點。在它的背上有另外的純白色的小鰭。它也有一個中小的角在頭頂，兩隻大的黑眼睛和粉色的嘴唇，還有兩顆小小的尖牙。
120,Staryu,海星星,Water,,937,130,128,60,40,15,80,1.1,137,112,60,926,海星星的身體主要由柔韌的、金棕色的星星形狀組成，它也由此得名。在它的五個觸手之間，即它的身體正中有一個外露的叫做核心的器官由金片固定住。這個核心類似紅色的寶石，其作用近似於海星的穿孔板。有一個金色的環繞住它的腿，將其核心固定。而且海星星是雌雄同體的。
121,Starmie,寶石海星,Psychic,Water,2182,194,192,120,16,6,80,1.1,210,184,120,2303,寶石海星和其進化前型態海星星一樣看起來像一隻海星。它的主體是淡紫色的，但仍保有它身體前部的金色結構。寶石海星身上的紅色寶石比海星星的大，並且發展得近似於切割寶石的樣子。進化給它帶來的最大的變化是它後面長出了新的一個星星。它的第二組手臂是半連接的，能夠旋轉360度。可以使用它來攻擊。
122,Mr.Mime,吸盤魔偶,Fairy,Psychic,1494,154,196,80,24,9,54.5,1.3,192,233,80,1984,吸盤魔偶長得有點像人類，在它的四根指頭上都長著一個吸盤，除了戰鬥以外，它還是做家務的好幫手。
123,Scyther,飛天螳螂,Bug,Flying,2073,176,180,140,24,9,56,1.5,218,170,140,2464,飛天螳螂是一種兩足的昆蟲生物。在它爬行動物般頭的上面有三個分立的角，前臂是兩隻用於捕獵以及戰鬥的白色大鐮刀。大腿上充滿了尖刺一般的皮毛，雙足上各有三個長了爪子的腳趾。雖然飛天螳螂刀刃般的翅膀能夠讓它飛起來，不過實際中很少能看見飛行的飛天螳螂。
124,Jynx,迷唇姊,Ice,Psychic,1716,172,134,130,24,9,40.6,1.4,223,182,130,2512,迷唇姐是人形的神奇寶貝，看起來有些像一個高貴而又憨厚的婦女。它穿著紅色的藏住腳的長裙，有白色的手臂和紫色的雙手。迷唇姐有紫色的臉、粉色的嘴唇、碟子形狀的眼睛和長長的金髮。它看起來是以歌劇裡有見的北歐公主為原型。起初，迷唇姐的臉是黑色的，引起了一些爭議（詳看細節）。
125,Electabuzz,電擊獸,Electric,,2119,198,160,130,24,9,30,1.1,198,173,130,2196,電擊獸腹部上有個黑色電符號，它整個身體也有一些黑色的皮膚，就像是老虎一樣，頭上有兩個像是導電體的東西，能幫助它蓄電。
126,Magmar,鴨嘴火龍,Fire,,2265,214,158,130,24,9,44.5,1.3,206,169,130,2254,鴨嘴火獸頭上有向上的火焰，像是它的頭髮，腹部上有火符號，全身好像都是火。另外它的嘴很像鴨子的鳥喙。
127,Pinsir,大甲,Bug,,2121,184,186,130,24,9,55,1.5,238,197,130,2770,大甲頭上有二個大而具有攻擊性的角，就像是現實中的鍬形蟲。它的牙齒是左右一排牙刷狀的。
128,Tauros,肯泰羅,Normal,,1844,148,184,150,24,9,88.4,1.4,198,197,150,2488,肯泰羅外形是牛，頸部有毛髮，它擁有三條尾巴。額頭上有三個點。那對犄角是它有力的武器。
129,Magikarp,鯉魚王,Water,,262,42,84,40,56,15,10,0.9,29,102,40,220,鯉魚王是一條紅色的魚，它也有像鯰魚的長絲在口邊，頭上就戴著一個金色的王冠，樣子有點呆。
130,Gyarados,暴鯉龍,Flying,Water,2688,192,196,190,8,7,235,6.5,237,197,190,3281,暴鯉龍的外形像龍，它的外貌就像是在恐嚇別人，頭上有青色的向上的三個角。背上有宏字型的甲板。
131,Lapras,乘龍,Ice,Water,2980,186,190,260,16,9,220,2.5,186,190,260,2980,拉普拉斯背上有灰色的殼，十分堅硬，那殼上突出來的看起來凹凸不平的東西，可能是讓搭乘者用於扶把以穩固搭乘者。
132,Ditto,百變怪,Normal,,919,110,110,96,16,10,4,0.3,91,91,96,718,百變怪渾身都是稍淡的紫色。它擁有一雙小小的黑眼睛，身體軟而富有彈性。
133,Eevee,伊布,Normal,,1077,114,128,110,32,10,6.5,0.3,104,121,110,969,伊布的基因十分不穩定，可能會因為周邊的環境差異而忽然進化成不同種類的神奇寶貝。火伊布、水伊布、雷伊布可以分別使用火之石、水之石或雷之石得到。
134,Vaporeon,水精靈,Water,,2816,186,168,260,12,6,29,1,205,177,260,3157,水精靈的身體是藍色的，頸部上有白色狀物，還有兩個看上去像是耳朵的魚鰭，身上布滿了與身體不同顏色——深藍色，這種顏色的條紋延伸到尾巴處，而尾巴是呈魚類的尾鰭形。
135,Jolteon,雷精靈,Electric,,2140,192,174,130,12,6,24.5,0.8,232,201,130,2730,雷精靈的身體是黃色的，頸部和身體布滿了白色和黃色的尖刺，就像雷電一樣扎人，又如避雷針那樣尖利。
136,Flareon,火精靈,Fire,,2643,238,178,130,12,6,25,0.9,246,204,130,2904,在伊布的進化型態中，火精靈是外表最像伊布的。火精靈的身體上的皮膚是火紅色的。它有一條大而毛絨絨的尾巴，脖上也有絨毛的。它的額頭上也有一撮小毛，這些毛全部都是黃色的。它爪子上的爪墊也都是黃色的。火精靈的身體的溫度非常高。
137,Porygon,3D龍,Normal,,1691,156,158,130,32,9,36.5,0.8,153,139,130,1567,3D龍是為人們眾所皆知並且深深銘刻在心中的，第一個在現代被故意製造的人造神奇寶貝。
138,Omanyte,菊石獸,Rock,Water,1119,132,160,70,32,9,7.5,0.4,155,174,70,1345,菊石獸與蝸牛十分相似。又十分像遠古時期的生物菊石蟲。它有著許多藍色的觸手，多而利於攻擊。它的背上有一個十分巨大的殼。用來保護自己。
139,Omastar,多刺菊石獸,Rock,Water,2233,180,202,140,12,5,35,1,207,227,140,2685,多刺菊石獸擁有和蝸牛差不多的殼附在身上，殼上有刺，他的眼睛看上去令人感到有些恐懼。和菊石獸一樣，它也來自遠古。
140,Kabuto,化石盔,Rock,Water,1104,148,142,60,32,9,11.5,0.5,148,162,60,1172,有著堅硬外殼來保護自己。就像是遠古時期的三葉蟲。
141,Kabutops,鐮刀盔,Rock,Water,2130,190,190,120,12,5,40.5,1.3,220,203,120,2517,鐮刀盔身上有褐色和白色，手的部分有兩個鐮刀，頭上也有一小部分是突出來的。
142,Aerodactyl,化石翼龍,Flying,Rock,2165,182,162,160,16,9,59,1.8,221,164,160,2608,化石翼龍的身體是灰色的，翅膀上有部分是紫色的，原形與白堊紀的翼龍很像，它的爪子有四個。
143,Snorlax,卡比獸,Normal,,3112,180,180,320,16,9,490,2.1,190,190,320,3355,卡比獸的身體顏色有點接近藍或青色，它的腹部上是白色的，眼睛總是眯起來的而且沒有看過它開過。
144,Articuno,急凍鳥,Flying,Ice,2978,198,242,180,0,10,55.4,1.7,192,249,180,2933,急凍鳥是一種大型鳥類神奇寶貝，具有顯而易見的藍色鳥類羽毛，翅膀據說由冰化成。急凍鳥擁有由三隻深藍色棱形羽毛組成的頭冠和圓形的紅色眼睛。其喙短小呈灰色，與又長又細的雙腿同色。急凍鳥擁有長的，彩旗狀的尾巴，其長度長於急凍鳥的身體，與頭冠同色。
145,Zapdos,閃電鳥,Electric,Flying,3114,232,194,180,0,10,52.6,1.6,253,188,180,3330,閃電鳥是一種明顯長有黃色羽毛的鳥類神奇寶貝。其眼周有黑色環狀包圍，長有橘色的長尖喙。其翅膀和尾巴包有大量尖釘似的羽毛，其翼背部和尾羽內側長有黑色羽毛。頭冠完全由一大撮尖銳的羽毛構成。其腿部為土黃色，大腿部分沒有任何羽毛，並在足部分出腳趾。尾巴很短。
146,Moltres,火焰鳥,Fire,Flying,3240,242,194,180,0,10,60,2,251,184,180,3272,火焰鳥是一種長有橙色或金色羽毛的鳥型寶可夢。它長有長的流線型頭冠和如火般翻騰的尾巴，均有火焰構成。其翅膀也由火焰狀的羽毛覆蓋。其喙直而尖，和分趾的足部一樣同為棕色。
147,Dratini,迷你龍,Dragon,,983,128,110,82,32,9,3.3,1.8,119,94,82,860,迷你龍是蛇形的神奇寶貝，生活在湖泊和江河裡。它們頭部兩邊有白色的鰭片，臉上有大大的圓形銀色鼻子，還有紫色的眼睛。它們是特徵是頭上的白色環形圖案。迷你龍會不斷成長，它們能長到很長。在成長過程中它們蛻下嬌嫩的深藍色皮膚。迷你龍看起來比它的進化型哈克龍體型更加粗壯。
148,Dragonair,哈克龍,Dragon,,1747,170,152,122,8,6,16.5,4,163,138,122,1609,哈克龍是體長能到13英尺的蛇形神奇寶貝。它有黑亮的眼睛，前額上小小的角。頭的兩側長有小的羽毛狀的翼。除了亮白色的肚子，哈克龍全身覆蓋著藍寶石色澤的鱗片。哈克龍獨一無二的特點是它們脖子下方和尾巴末端的藍色小珠子。它看起來有些像它的進化前型迷你龍的放大版，卻比迷你龍細長。並且可以飛。
149,Dragonite,快龍,Dragon,Flying,3500,250,212,182,4,5,210,2.2,263,201,182,3581,快龍是一種似龍的雙足神奇寶貝，通體橘色。快龍的眼睛大而灰，口鼻部圓滑，鼻孔小。在其頭部頂端有兩根長而細的觸角和一隻小角。快龍帶有條紋的腹部呈奶油色，並一直延伸到長尾的尖端。快龍粗壯的四肢末端各有三隻爪子。它的腿部與身體的結合處界限分明，但臂與身體的連接處卻十分光滑。快龍的翅膀相較其軀體顯得很小，長有翼膜，可以將其托上天空。
150,Mewtwo,超夢,Psychic,,4144,284,202,212,0,10,122,2,330,200,212,4760,超夢的體形與夢幻相去甚遠：其形象類似於雙足貓科動物，通體銀灰，尾巴和腹部呈現紫色，由背部中心伸出的體外神經束一直延伸到後脖頸。身高和人類相當。
151,Mew,夢幻,Psychic,,3299,220,220,200,0,10,4,0.4,210,210,200,3090,外表像一隻粉紅色小貓，尾長約為身高的兩倍，尾尖為橄欖形。眼睛呈三角形。
